ID,Beacon_Score,Mortgage_Balance,Services,Avg_Monthly_Transactions,Has_Payroll,Has_Investment,Has_Visa,VISA_balance,Has_Deposit,Not_Mortgage_Balance,Income,Age,Gender,Sector,Tenure_In_Months,City,TermInMonths,TermToMaturity,NumberOfParties,InterestRate,Type,not mortgage lending,deposit
5633,694,216042.06,8,282,1,1,1,0,1,205546.67,NA,57,M,Staff,449,SQUAMISH                                                                                            ,60,15,1,0.0237,OpenTFixedR,101805.9899,103740.6801
2317,657,130903.09,4,277,1,0,0,0,1,273534.16,NA,63,M,Regular,437,SURREY                                                                                              ,60,13,2,0.0279,FixedTFixedR,72279.30671,201254.8533
3203,708,268480.18,6,276,1,0,1,0,1,65487.14,NA,53,F,Regular,168,SURREY                                                                                              ,60,11,2,0.0365,FixedTVariableR,478.0405935,65009.09941
967,751,259353.95,8,2750,1,1,1,0,1,152764.27,NA,59,F,Regular,170,VANCOUVER                                                                                           ,36,15,2,0.0314,FixedTFixedR,82099.37048,70664.89952
5836,688,330660.29,6,273,1,1,0,0,1,49743.93,NA,54,M,Regular,339,BURNABY                                                                                             ,60,4,2,0.0279,FixedTFixedR,43034.63007,6709.299933
239,649,303703.87,7,273,1,0,1,351.2640852,1,13187.04,NA,40,F,Regular,158,SURREY                                                                                              ,24,24,2,0.0354,FixedTFixedR,4975.411831,8211.628169
5519,660,328353.93,10,269,1,1,1,1785.377423,1,165144.89,131183.0717,47,F,Regular,250,RICHMOND                                                                                            ,60,14,2,0.0345,FixedTVariableR,154393.6139,10751.27605
1678,763,253194.23,4,260,1,0,0,0,1,65431.93,NA,53,M,Regular,358,MAPLE RIDGE                                                                                         ,60,18,2,0.0399,FixedTFixedR,20560.64498,44871.28502
11496,830,165395.32,4,259,1,0,0,0,1,28120.09,NA,42,M,Regular,149,VANCOUVER                                                                                           ,60,17,1,0.0284,FixedTFixedR,5460.655611,22659.43439
137,801,378837.92,8,254,1,1,1,0,1,79725.69,NA,64,F,Regular,398,SURREY                                                                                              ,60,10,2,0.021,FixedTVariableR,11474.61642,68251.07358
1059,841,81009.14,6,252,1,0,0,0,1,129533.86,NA,71,M,Regular,452,VANCOUVER                                                                                           ,60,8,1,0.0345,FixedTVariableR,37662.4501,91871.4099
5648,558,872217.36,6,251,1,0,1,964.8025278,1,51646.26,NA,51,M,Regular,125,SURREY                                                                                              ,60,17,2,0.0375,FixedTVariableR,27136.14439,24510.11561
1686,803,35557.89,5,250,1,0,1,888.3365516,1,43173.96,NA,58,F,Regular,161,SURREY                                                                                              ,60,5,1,0.0279,FixedTFixedR,11633.26861,31540.69139
3505,800,626164.94,6,247,1,0,1,0,1,86275.38,NA,61,F,Regular,335,RICHMOND                                                                                            ,40.8,12.2,1,0.0385,FixedTVariableR,79869.58303,6405.796971
3724,793,201857.27,8,247,1,1,1,1598.827992,1,181696.67,NA,45,M,Staff,171,SURREY                                                                                              ,42,5,4,0.0299,FixedTFixedR,97159.24625,84537.42375
8809,557,241083.19,5,246,1,0,1,1485.759268,1,9293.23,NA,48,F,Regular,289,RICHMOND                                                                                            ,60,9,2,0.0385,FixedTVariableR,2928.981407,6364.248593
2383,777,429866.45,5,245,1,0,1,0,1,178207.37,NA,41,M,Regular,173,SURREY                                                                                              ,60,24,2,0.0254,FixedTFixedR,41651.6283,136555.7417
6843,763,65859.06,7,243,1,0,1,0,1,74378.94,NA,46,F,Regular,59,PORT COQUITLAM                                                                                      ,60,2,1,0.0299,FixedTFixedR,60044.61547,14334.32453
11852,771,1118910.65,5,242,1,0,1,0,1,69946.57,NA,62,F,Staff,222,NORTH VANCOUVER                                                                                     ,48,22,2,0.0274,FixedTFixedR,27851.77838,42094.79162
7747,798,147985.69,6,242,1,0,0,0,1,195753.96,NA,60,M,Regular,357,VANCOUVER                                                                                           ,60,5,2,0.0279,FixedTFixedR,182251.8195,13502.14052
2244,798,189429.35,4,242,1,0,0,0,1,116160.24,NA,51,F,Regular,349,LANGLEY                                                                                             ,60,13,2,0.0259,FixedTFixedR,87040.89199,29119.34801
840,810,251557.87,6,242,1,0,1,268.1583722,1,30496.88,NA,42,F,Regular,251,SURREY                                                                                              ,60,13,2,0.0259,FixedTFixedR,17522.90273,12973.97727
4005,701,640371.62,7,235,1,0,1,2282.526631,1,49958.51,NA,55,M,Regular,306,VANCOUVER                                                                                           ,60,13.5,2,0.0279,FixedTFixedR,11154.96421,38803.54579
9029,777,19993.11,7,233,1,1,1,679.9993465,1,125624.23,NA,56,F,Staff,180,VICTORIA                                                                                            ,60,2,2,0.0299,FixedTFixedR,120048.5563,5575.673721
6783,0,82580.11,5,233,1,0,1,497.3822122,1,5800.52,NA,37,F,Regular,105,PORT COQUITLAM                                                                                      ,60,17,2,0.0274,FixedTFixedR,832.7326586,4967.787341
3504,714,418523.94,8,231,1,1,1,0,1,235541.37,NA,57,F,Regular,240,PORT COQUITLAM                                                                                      ,60,12,2,0.0269,FixedTFixedR,2185.409411,233355.9606
2685,735,21800.83,8,230,1,1,1,1623.188445,1,337371.97,NA,61,F,Staff,483,MAPLE RIDGE                                                                                         ,60,9,2,0.0269,FixedTFixedR,299490.2739,37881.69611
1103,740,187747.37,5,229,1,0,1,2540.186101,1,24508.33,NA,53,F,Regular,234,COQUITLAM                                                                                           ,60,8,2,0.0345,FixedTVariableR,2438.081233,22070.24877
940,549,435759.44,6,229,1,0,1,0,1,21972.52,NA,49,M,Regular,374,COQUITLAM                                                                                           ,60,13.33333333,2,0.04,FixedTVariableR,11915.97264,10056.54736
4281,687,526892.05,5,228,1,0,0,0,1,149992.09,NA,47,M,Regular,218,PORT COQUITLAM                                                                                      ,54,21,2,0.0295,FixedTVariableR,137264.0545,12728.03551
2036,689,306515.16,5,228,1,0,0,0,1,123939.2,283567.8634,36,F,Regular,158,CHILLIWACK                                                                                          ,60,13.66666667,2,0.0279,FixedTFixedR,103271.301,20667.89903
7923,730,336623.18,7,227,1,1,1,0,1,212897.76,NA,58,M,Staff,364,MAPLE RIDGE                                                                                         ,60,18,1,0.0237,OpenTFixedR,95575.18479,117322.5752
1760,695,445437.92,4,227,0,0,1,2294.200661,1,14607.15,NA,52,F,Regular,248,BOWEN ISLAND                                                                                        ,24,8,2,0.0329,FixedTFixedR,4166.146209,10441.00379
3200,759,114643.63,5,226,1,0,0,0,1,45026.37,NA,54,M,Regular,409,MISSION                                                                                             ,60,3,2,0.025,FixedTVariableR,6571.972236,38454.39776
3692,533,366104.09,5,225,1,0,1,0,1,1869.53,38949.06173,63,M,Regular,247,DELTA                                                                                               ,60,5,2,0.0279,FixedTFixedR,1331.59737,537.9326302
998,602,466186.37,5,225,1,0,1,1737.03279,1,97557.48,NA,44,F,Regular,281,SURREY                                                                                              ,60,19,2,0.0269,FixedTFixedR,56057.27224,41500.20776
2007,677,232164.13,6,224,1,0,1,1290.13526,1,19584.78,NA,49,F,Regular,118,SURREY                                                                                              ,60,13,2,0.0355,FixedTVariableR,16838.56464,2746.215356
7602,818,351935.58,6,223,1,0,0,0,1,176755.09,282601.0657,54,F,Regular,399,BURNABY                                                                                             ,48,22,2,0.0289,FixedTFixedR,123152.3568,53602.73316
3112,760,376518.17,7,223,1,1,1,243.7143699,1,299739.43,266890.8648,42,F,Regular,498,VANCOUVER                                                                                           ,36,17,2,0.0309,FixedTFixedR,245345.4077,54394.0223
3862,742,375554.08,8,223,1,1,1,1534.346593,1,64465.06,NA,37,M,Staff,193,NEW WESTMINSTER                                                                                     ,60,10,4,0.0335,FixedTVariableR,32352.78326,32112.27674
9136,792,1446045.8,10,222,1,1,1,1436.868554,1,144935.16,NA,49,F,Staff,308,BURNABY                                                                                             ,60,22,2,0.0237,OpenTFixedR,89521.94847,55413.21153
7754,793,332011.81,5,222,1,0,1,761.5420342,1,21186.51,NA,41,M,Regular,53,TSAWWASSEN                                                                                          ,60,9,2,0.0269,FixedTFixedR,5958.175567,15228.33443
6688,703,31484.21,7,219,1,1,1,0,1,179519.5,NA,53,M,Regular,303,SURREY                                                                                              ,48,17,2,0.0614,FixedTFixedR,79445.10792,100074.3921
13445,780,416511.11,7,218,1,1,1,0,1,541298.72,NA,53,M,Regular,344,RICHMOND                                                                                            ,60,7,1,0.0335,FixedTVariableR,120831.2205,420467.4995
12791,703,618773.03,6,218,1,0,1,642.076744,1,18539.29,262421.7783,51,M,Regular,243,VANCOUVER                                                                                           ,60,4,2,0.0269,FixedTFixedR,4968.075187,13571.21481
981,744,196246.25,6,218,1,0,1,0,1,35492.82,NA,50,M,Regular,102,ABBOTSFORD                                                                                          ,60,17,2,0.0284,FixedTFixedR,7564.037877,27928.78212
2770,687,631587.17,8,218,1,1,1,0,1,1423252.52,NA,47,M,Staff,385,RICHMOND                                                                                            ,60,15,2,0.0335,FixedTVariableR,299499.6742,1123752.846
2130,684,459988.39,8,218,1,1,1,0,1,222223.51,NA,46,F,Staff,375,BURNABY                                                                                             ,60,4,2,0.027,OpenTVariableR,55131.70064,167091.8094
8099,796,440367.05,5,218,1,0,1,0,1,9444.24,252075.2109,41,M,Regular,277,MISSION                                                                                             ,60,7,2,0.0279,FixedTFixedR,1144.705574,8299.534426
3228,799,95203.04,7,217,1,0,1,1625.947248,1,123192.53,NA,59,M,Regular,268,VANCOUVER                                                                                           ,60,5,1,0.0279,FixedTFixedR,89533.57405,33658.95595
8077,762,113040.28,9,217,1,1,1,0,1,266779.72,NA,50,M,Staff,396,SURREY                                                                                              ,60,10,2,0.0237,OpenTFixedR,201803.5477,64976.1723
3008,730,810951.72,5,216,1,0,1,0,1,76857.17,NA,61,F,Regular,482,BURNABY                                                                                             ,60,17,3,0.0274,FixedTFixedR,62416.77807,14440.39193
5600,774,290300.6,5,216,1,0,0,0,1,136900.89,NA,57,F,Regular,87,ABBOTSFORD                                                                                          ,60,23,4,0.0269,FixedTFixedR,127033.3259,9867.564051
4461,715,737326.23,4,216,1,0,0,0,1,2448.55,NA,46,M,Regular,410,NORTH VANCOUVER                                                                                     ,60,13,2,0.0375,FixedTVariableR,974.8479232,1473.702077
12891,702,435187.16,7,216,1,1,1,182.5838533,1,37262.99,NA,41,F,Regular,160,ROYSTON                                                                                             ,60,17,2,0.0284,FixedTFixedR,14977.7368,22285.2532
2649,669,462515.98,8,216,1,1,1,1379.344234,1,141416.45,243250.2984,36,F,Staff,180,RICHMOND                                                                                            ,48,22,2,0.0274,FixedTFixedR,140938.3788,478.0712093
5267,744,602906.1,6,215,1,0,1,7.348764135,1,38078.96,NA,52,M,Regular,124,CHILLIWACK                                                                                          ,60,10,2,0.0335,FixedTVariableR,12457.47384,25621.48616
6753,740,471500,5,215,1,0,1,0,1,19883.38,NA,50,M,Regular,402,MISSION                                                                                             ,60,20,2,0.0279,FixedTFixedR,9629.504362,10253.87564
6247,637,649793.56,5,214,1,0,1,264.3843716,1,129376.29,NA,60,F,Regular,315,PORT MOODY                                                                                          ,60,8,2,0.0345,FixedTVariableR,30733.67043,98642.61957
2005,720,260218.56,7,214,1,0,0,0,1,120994.62,NA,53,M,Regular,139,PORT COQUITLAM                                                                                      ,60,23,2,0.0259,FixedTFixedR,103932.68,17061.94004
6897,692,152416.67,5,214,1,0,1,0,1,313887.32,NA,51,F,Regular,196,VANCOUVER                                                                                           ,60,15,2,0.0279,FixedTFixedR,80370.44458,233516.8754
3454,763,446981.99,7,213,1,0,1,0,1,61342.97,NA,50,F,Staff,291,RICHMOND                                                                                            ,30,18,2,0.0309,FixedTFixedR,18893.95961,42449.01039
9019,707,200020.97,7,213,1,0,1,0,1,243732.2,NA,48,F,Regular,275,DELTA                                                                                               ,54,12,2,0.0299,FixedTFixedR,131993.0281,111739.1719
6068,751,272759.63,7,213,1,0,1,1186.713388,1,98940.77,NA,43,F,Regular,197,CHILLIWACK                                                                                          ,60,14,2,0.038,FixedTVariableR,37096.96814,61843.80186
2701,717,198736.92,5,212,1,0,1,0,1,120201.31,NA,46,F,Regular,253,MISSION                                                                                             ,60,25,2,0.0259,FixedTFixedR,107077.6494,13123.66064
5137,782,297934.24,9,212,1,1,1,1463.978891,1,524475.49,NA,42,M,Staff,252,COQUITLAM                                                                                           ,60,16,2,0.0237,OpenTFixedR,288953.9987,235521.4913
9333,778,402835.81,11,211,1,1,1,87.0834326,1,109519.65,NA,38,M,Staff,215,MISSION                                                                                             ,60,20,2,0.0279,FixedTFixedR,73556.60211,35963.04789
3809,798,239557.12,6,210,1,0,1,2418.17221,1,35243,NA,41,M,Regular,91,CHILLIWACK                                                                                          ,60,25,1,0.0259,FixedTFixedR,7886.397915,27356.60209
8038,764,271667.89,7,210,1,0,1,1959.453404,1,35708.08,NA,32,M,Regular,367,COQUITLAM                                                                                           ,60,6,2,0.0279,FixedTFixedR,22369.48713,13338.59287
4217,820,339125.34,9,209,1,1,1,1879.864962,1,440266.42,NA,67,F,Regular,469,COQUITLAM                                                                                           ,60,16,2,0.0279,FixedTFixedR,316191.5376,124074.8824
3489,699,368304.82,6,209,1,0,1,796.8375232,1,31581.42,NA,47,F,Regular,177,COQUITLAM                                                                                           ,60,13.5,2,0.0279,FixedTFixedR,24356.01474,7225.405262
5903,770,281386.54,9,208,1,1,1,2216.169003,1,42346.02,NA,50,M,Staff,82,DELTA                                                                                               ,60,7,2,0.0269,FixedTFixedR,13405.13049,28940.88951
1092,798,205965.18,7,207,1,0,1,890.9390709,1,89819.54,NA,59,M,Staff,187,COQUITLAM                                                                                           ,48,22,2,0.0274,FixedTFixedR,83115.56513,6703.97487
5564,773,322532.97,5,207,1,0,1,0,1,95461.63,NA,48,M,Regular,171,VICTORIA                                                                                            ,60,8,2,0.0279,FixedTFixedR,67141.5776,28320.0524
1781,707,413746.73,6,206,1,0,1,0,1,75262.77,NA,40,M,Regular,99,VICTORIA                                                                                            ,60,20,2,0.0259,FixedTFixedR,28708.58183,46554.18817
1318,808,264139.56,6,205,1,0,1,0,1,34266.95,NA,52,F,Regular,339,RICHMOND                                                                                            ,60,16,2,0.0269,FixedTFixedR,1112.109986,33154.84001
2527,709,173245.29,9,204,1,1,1,635.5559753,1,41442.78,200908.0174,55,F,Regular,144,SURREY                                                                                              ,60,8,1,0.0269,FixedTFixedR,15062.33239,26380.44761
6701,612,829722.82,6,204,1,0,1,0,1,13571.11,NA,54,M,Regular,185,CHILLIWACK                                                                                          ,60,21.5,1,0.0279,FixedTFixedR,1623.849031,11947.26097
7033,655,331210.57,7,204,1,0,0,0,1,54201.93,NA,46,M,Regular,147,COQUITLAM                                                                                           ,60,22,2,0.0259,FixedTFixedR,53263.43792,938.4920779
1524,622,895031.93,6,204,1,0,1,1350.594503,1,511400.32,NA,41,M,Regular,178,VANCOUVER                                                                                           ,60,19,2,0.0385,FixedTVariableR,404334.6186,107065.7014
11812,757,615033.73,6,203,1,1,0,0,1,37294.55,209497.2616,64,F,Regular,191,SIDNEY                                                                                              ,60,18,2,0.0279,FixedTFixedR,5489.237094,31805.31291
3138,758,242085.98,6,203,1,0,0,0,1,16195.19,NA,59,F,Regular,419,SURREY                                                                                              ,60,12,2,0.0269,FixedTFixedR,4028.649206,12166.54079
4688,0,1011395.16,7,203,1,0,1,0,1,92800.97,NA,47,F,Regular,205,ALDERGROVE                                                                                          ,60,15.83333333,2,0.038,FixedTVariableR,3589.87417,89211.09583
9338,731,412307.92,5,202,1,0,1,1980.425389,1,25946.28,69524.14222,50,M,Regular,81,ABBOTSFORD                                                                                          ,60,16,1,0.0269,FixedTFixedR,24990.24252,956.0374784
3464,750,338387.89,5,202,1,0,1,0,1,68302.25,NA,49,M,Regular,113,DELTA                                                                                               ,60,19,2,0.0259,FixedTFixedR,64997.24592,3305.004075
2113,770,310413.45,5,202,1,1,0,0,1,93932.7,NA,48,F,Regular,287,PORT COQUITLAM                                                                                      ,60,14,2,0.0355,FixedTVariableR,43516.78096,50415.91904
5453,762,214207.74,5,202,1,0,1,0,1,721950.27,NA,43,M,Regular,132,BURNABY                                                                                             ,60,11,2,0.0269,FixedTFixedR,174068.6204,547881.6496
9033,778,81519.94,6,201,1,1,1,0,1,28656.45,NA,50,F,Regular,192,SURREY                                                                                              ,60,11,4,0.0259,FixedTFixedR,13631.42836,15025.02164
1851,804,509981.38,7,201,1,1,1,2532.939467,1,138294.87,NA,49,F,Regular,290,MISSION                                                                                             ,60,23,2,0.0279,FixedTFixedR,36925.36507,101369.5049
337,670,1732319.03,8,199,1,1,1,2099.32497,1,117722.49,NA,49,M,Staff,252,SURREY                                                                                              ,60,10.33333333,2,0.0335,FixedTVariableR,114473.1167,3249.373315
3443,632,484496.03,3,199,1,0,0,0,1,18300.26,NA,41,F,Regular,102,SURREY                                                                                              ,12,9,3,0.0374,FixedTFixedR,6499.754059,11800.50594
7599,778,83481.66,6,198,1,1,1,0,1,215215.91,NA,57,F,Staff,164,SOOKE                                                                                               ,60,5,2,0.0275,FixedTVariableR,136537.9021,78678.00785
1814,710,93055.86,5,198,1,0,1,1114.204959,1,20841.45,NA,56,F,Regular,149,MAPLE RIDGE                                                                                         ,60,25,1,0.0269,FixedTFixedR,13471.9875,7369.462499
4913,785,206045.73,5,197,1,0,1,1710.736714,1,395191.74,NA,54,M,Regular,364,BURNABY                                                                                             ,60,8,2,0.0269,FixedTFixedR,115102.2295,280089.5105
6029,777,237443.43,7,197,1,0,1,118.0552994,1,35130.46,NA,35,F,Staff,203,BURNABY                                                                                             ,60,17,1,0.0269,FixedTFixedR,3453.386677,31677.07332
6110,770,302212.49,5,196,1,0,1,0,1,36041.9,NA,61,M,Regular,392,NORTH VANCOUVER                                                                                     ,60,16,2,0.0375,FixedTVariableR,22024.54424,14017.35576
6012,787,250710.62,5,196,1,0,1,0,1,68841.66,NA,57,M,Regular,325,MISSION                                                                                             ,60,25,2,0.0269,FixedTFixedR,18409.29747,50432.36253
12372,660,231395.64,5,196,1,0,1,0,1,17496.01,NA,55,F,Regular,250,COQUITLAM                                                                                           ,24,9,1,0.0304,FixedTFixedR,8158.234396,9337.775604
3272,751,654062.57,5,196,1,0,0,0,1,75811.1,NA,52,F,Regular,273,COQUITLAM                                                                                           ,60,15,2,0.0284,FixedTFixedR,47532.43053,28278.66947
8163,775,534974.08,6,196,1,0,1,50.3762307,1,138485.1,NA,49,M,Regular,389,PORT COQUITLAM                                                                                      ,60,19,2,0.0279,FixedTFixedR,83099.43202,55385.66798
3283,757,917902.11,7,196,1,1,1,0,1,284924.97,NA,45,F,Regular,212,NORTH VANCOUVER                                                                                     ,60,4,2,0.0365,FixedTVariableR,237838.9352,47086.03485
2692,799,243422.07,5,195,1,0,1,0,1,28026.94,NA,52,M,Regular,390,CHILLIWACK                                                                                          ,60,20.5,2,0.0279,FixedTFixedR,15539.99932,12486.94068
5121,760,417129.23,4,195,1,0,0,0,1,63982.56,NA,44,M,Regular,151,SURREY                                                                                              ,48,24,2,0.0314,FixedTFixedR,43495.3523,20487.2077
7658,749,307259.59,7,194,1,0,1,0,1,81589.32,NA,55,M,Regular,478,BURNABY                                                                                             ,60,5,2,0.0299,FixedTFixedR,47217.32081,34371.99919
8976,730,153930.19,5,193,1,0,1,2452.701381,1,24475.25,NA,61,M,Regular,161,VANCOUVER                                                                                           ,60,16,2,0.0284,FixedTFixedR,9538.373005,14936.877
933,770,347478.97,7,193,1,0,1,2375.18796,1,96205.57,NA,51,F,Regular,360,MAPLE RIDGE                                                                                         ,60,22,2,0.0279,FixedTFixedR,2315.401476,93890.16852
315,762,433577.23,8,193,1,1,1,2492.482965,1,178934.59,NA,50,M,Staff,355,MAPLE RIDGE                                                                                         ,48,16,2,0.0309,FixedTFixedR,86637.87999,92296.71001
2903,763,1385630.97,4,193,1,0,0,0,1,56521.11,NA,49,M,Regular,171,VANCOUVER                                                                                           ,60,15,2,0.0279,FixedTFixedR,938.0240924,55583.08591
3562,743,156985.91,5,193,0,0,1,1137.870746,1,291626.91,64856.70462,42,M,Regular,201,VANCOUVER                                                                                           ,60,5,4,0.0269,FixedTFixedR,200637.5721,90989.33786
9491,828,239334.19,4,192,1,0,1,1591.242049,1,9724.84,NA,60,M,Regular,236,CHILLIWACK                                                                                          ,60,18,2,0.0269,FixedTFixedR,739.533301,8985.306699
6631,636,176134.64,6,192,1,0,1,1570.55547,1,94184.51,NA,59,M,Regular,226,SURREY                                                                                              ,60,4,2,0.0289,FixedTFixedR,75599.21135,18585.29865
1703,563,403727.09,6,192,0,0,1,1193.814982,1,15649.37,NA,29,M,Regular,211,MAPLE RIDGE                                                                                         ,60,17,2,0.0294,FixedTFixedR,11281.78583,4367.584171
10177,801,73154.37,4,191,1,0,0,0,1,4573.61,NA,74,F,Regular,324,GRAND FORKS                                                                                         ,24,2,2,0.0299,FixedTFixedR,1131.127184,3442.482816
5965,829,39610.65,7,191,1,0,1,0,1,53893.24,139552.7422,64,F,Regular,378,VICTORIA                                                                                            ,24,6,1,0.0304,FixedTFixedR,34107.46002,19785.77998
7582,784,228273.82,7,191,1,1,1,2116.986405,1,82310.4,NA,62,M,Staff,228,MAPLE RIDGE                                                                                         ,60,18,2,0.0237,OpenTFixedR,13859.45132,68450.94868
5159,658,475800.87,6,191,1,0,0,0,1,75722.04,NA,52,F,Regular,231,MAPLE RIDGE                                                                                         ,60,19,4,0.0269,FixedTFixedR,6852.45519,68869.58481
13254,694,261209.14,5,191,1,0,0,0,1,14262.64,NA,51,F,Regular,229,CHILLIWACK                                                                                          ,60,16,2,0.0294,FixedTFixedR,5106.788468,9155.851532
6880,664,215896.49,5,191,0,0,1,2139.022725,1,7803.48,NA,33,M,Regular,278,VANCOUVER                                                                                           ,60,10,1,0.0269,FixedTFixedR,5139.552982,2663.927018
2028,670,36448.65,6,190,1,0,1,61.60247017,1,30542.22,NA,64,M,Regular,501,SURREY                                                                                              ,60,3,2,0.0289,FixedTFixedR,6278.696346,24263.52365
4487,730,595894.96,8,190,1,1,1,401.6761637,1,871623.65,NA,63,M,Regular,140,VANCOUVER                                                                                           ,60,10,1,0.0259,FixedTFixedR,484209.2294,387414.4206
8909,726,330851.97,9,190,1,1,1,230.7072959,1,199835.59,NA,57,M,Staff,204,VANCOUVER                                                                                           ,60,25,1,0.0237,OpenTFixedR,171705.8998,28129.69015
6398,701,196251.52,8,190,1,1,1,0,1,626815.71,NA,56,M,Regular,203,VANCOUVER                                                                                           ,60,19,2,0.0279,FixedTFixedR,59269.06386,567546.6461
3657,626,425141.91,4,190,1,0,0,0,1,19613.19,NA,52,M,Regular,276,LANGLEY                                                                                             ,60,16,2,0.0284,FixedTFixedR,453.5926518,19159.59735
3199,806,613029.1,8,190,1,1,1,254.4904711,1,279440.98,NA,50,M,Staff,364,COQUITLAM                                                                                           ,60,22,2,0.0259,FixedTFixedR,15702.2328,263738.7472
6093,736,156985.91,5,190,0,0,1,0,1,317694.7,NA,48,F,Regular,112,VANCOUVER                                                                                           ,60,7,4,0.0269,FixedTFixedR,35165.15055,282529.5494
5057,723,393155.24,6,190,1,0,1,45.4394076,1,8716.66,NA,35,M,Regular,88,SURREY                                                                                              ,60,20,2,0.0279,FixedTFixedR,6947.689178,1768.970822
7273,801,380529.44,5,189,1,0,1,2404.06648,1,357383.74,NA,75,M,Regular,484,VANCOUVER                                                                                           ,60,6,2,0.0279,FixedTFixedR,173045.6447,184338.0953
8119,650,408743.3,7,189,1,0,1,2153.462299,1,69771.13,NA,48,F,Regular,45,LANGLEY                                                                                             ,48,17,1,0.0314,FixedTFixedR,68132.13438,1638.995618
7709,729,662276.81,8,188,1,0,1,0,1,348777.84,NA,65,M,Regular,162,COQUITLAM                                                                                           ,42,18,2,0.0334,FixedTFixedR,338853.48,9924.360009
4959,751,435864.99,7,188,1,1,1,0,1,285225.77,NA,55,M,Regular,382,PORT MOODY                                                                                          ,60,5,2,0.0269,FixedTFixedR,81718.62139,203507.1486
7650,708,445118.29,7,188,1,1,1,0,1,50290.12,NA,48,M,Regular,250,NORTH VANCOUVER                                                                                     ,60,14,2,0.0365,FixedTVariableR,25994.43326,24295.68674
1602,754,360405.73,7,188,1,1,1,0,1,37763.36,NA,44,M,Staff,119,SURREY                                                                                              ,36,23,2,0.0309,FixedTFixedR,35536.32411,2227.035893
2894,675,330392.51,4,188,1,0,1,1018.117637,1,2352.42,NA,40,F,Regular,236,SQUAMISH                                                                                            ,36,19,2,0.0339,FixedTFixedR,1660.868405,691.5515945
7221,775,221368.12,7,187,1,1,1,2283.580786,1,128290.6,NA,56,M,Regular,395,MAPLE RIDGE                                                                                         ,24,23,2,0.0344,FixedTFixedR,34449.11726,93841.48274
